"data","n","p","method","seconds","lambda0","nonzeros","auc_train","auc_test","brier_train","brier_test","med_abs","max_abs"
"sim_100_10_0_1_10_data.csv",100,10,"NLLCD with CV (lambda_min)",17.9366738796234,0.0657444876954537,5,0.829987956643918,0.701926936973103,0.165903017779185,0.230225949015253,2,10
"sim_100_10_0_1_10_data.csv",100,10,"NLLCD with CV (lambda_1se)",17.9366738796234,0.14164220496946,1,0.707145724608591,0.693095142513047,0.205876623376623,0.213845294316065,0,10
"sim_100_10_0_1_2_data.csv",100,10,"FasterRisk",0.365750074386597,NA,9,0.883953581432573,0.818555008210181,0.478010576771068,0.564253172228036,3,9
"sim_100_10_0_1_2_data.csv",100,10,"LR",0.00582408905029297,NA,10,0.883953581432573,0.82491789819376,0.139253733437671,0.1716831796637,1.00725384240759,3.355735237467
"sim_100_10_0_1_2_data.csv",100,10,"Rounded LR",0.0229191780090332,NA,6,0.875550220088035,0.813628899835796,0.14175416065005,0.176132030044611,1,3
"sim_100_10_0_1_2_data.csv",100,10,"Lasso",0.366715908050537,0.0294695524548389,4,0.875950380152061,0.810755336617406,0.146934222224309,0.175493190432243,0,1.30754225156643
"sim_100_10_0_1_2_data.csv",100,10,"Rounded Lasso",0.379838943481445,0.0294695524548389,2,0.795118047218888,0.74692118226601,0.169394490871615,0.197420802882796,0,2
"sim_100_10_0_1_2_data.csv",100,10,"NLLCD",0.0521228313446045,0,10,0.881352541016406,0.819991789819376,0.14041185495388,0.171949314789511,3,10
"sim_100_10_0_1_2_data.csv",100,10,"NLLCD with CV (lambda_min)",18.0401060581207,0.0207901866754242,6,0.875950380152061,0.80623973727422,0.14305418528144,0.179751006049669,3,10
"sim_100_10_0_1_2_data.csv",100,10,"NLLCD with CV (lambda_1se)",18.0401060581207,0.207901866754242,1,0.684673869547819,0.642036124794745,0.206676813800101,0.224556773366014,0,9
"sim_100_10_0_1_3_data.csv",100,10,"FasterRisk",0.236229181289673,NA,8,0.814949494949495,0.742222222222222,0.412022491314754,0.518085637625206,2,10
"sim_100_10_0_1_3_data.csv",100,10,"LR",0.000985860824584961,NA,10,0.811313131313131,0.740808080808081,0.175438421599404,0.212374539727405,0.502266582613963,2.980283809504
"sim_100_10_0_1_3_data.csv",100,10,"Rounded LR",0.00296688079833984,NA,7,0.806666666666667,0.745454545454545,0.176541448160787,0.207184371993243,1,6
"sim_100_10_0_1_3_data.csv",100,10,"Lasso",0.0519261360168457,0.0316897875645629,4,0.804646464646465,0.726666666666667,0.182287727767108,0.218175081522847,0,1.08879978388463
"sim_100_10_0_1_3_data.csv",100,10,"Rounded Lasso",0.0571811199188232,0.0316897875645629,3,0.771919191919192,0.695353535353535,0.186049658688929,0.227208529228785,0,2
"sim_100_10_0_1_3_data.csv",100,10,"NLLCD",0.0389671325683594,0,7,0.809090909090909,0.734141414141414,0.176649340803483,0.219090576141064,1.5,10
"sim_100_10_0_1_3_data.csv",100,10,"NLLCD with CV (lambda_min)",17.8478741645813,0.0169118864932894,3,0.782626262626263,0.696161616161616,0.18414054774233,0.228592473303398,0,10
"sim_100_10_0_1_3_data.csv",100,10,"NLLCD with CV (lambda_1se)",17.8478741645813,0.169118864932894,1,0.625252525252525,0.570707070707071,0.21889880952381,0.239591305271951,0,10
"sim_100_10_0_1_4_data.csv",100,10,"FasterRisk",1.34571290016174,NA,9,0.868961352657005,0.801482371794872,0.40772841319312,0.354987814045061,2.5,7
"sim_100_10_0_1_4_data.csv",100,10,"LR",0.0011591911315918,NA,10,0.869363929146538,0.805088141025641,0.147201124218325,0.198877135255768,1.12360923723054,3.07776314140484
"sim_100_10_0_1_4_data.csv",100,10,"Rounded LR",0.00727009773254395,NA,6,0.853864734299517,0.802884615384615,0.153754271306678,0.186215079969295,1,3
"sim_100_10_0_1_4_data.csv",100,10,"Lasso",0.573529005050659,0.0152463706504792,6,0.869363929146538,0.806891025641026,0.151087280798108,0.182817624077222,0.155819434219732,1.48087052635603
"sim_100_10_0_1_4_data.csv",100,10,"Rounded Lasso",0.630045890808105,0.0152463706504792,5,0.834943639291465,0.793669871794872,0.164736483721657,0.184138697748416,0.5,3
"sim_100_10_0_1_4_data.csv",100,10,"NLLCD",0.674721002578735,0,10,0.869967793880837,0.8046875,0.147749032988003,0.198009584733351,3.5,10
"sim_100_10_0_1_4_data.csv",100,10,"NLLCD with CV (lambda_min)",12.8997459411621,0.0652348405040161,3,0.810789049919485,0.782451923076923,0.17342210958939,0.18280609942866,0,10
"sim_100_10_0_1_4_data.csv",100,10,"NLLCD with CV (lambda_1se)",12.8997459411621,0.206290678790498,0,0.5,0.5,0.2484,0.253199999996588,0,0
"sim_100_10_0_1_5_data.csv",100,10,"FasterRisk",0.253312826156616,NA,9,0.867552334943639,0.808373590982286,0.518615350517895,0.442076533252313,3.5,10
"sim_100_10_0_1_5_data.csv",100,10,"LR",0.00129890441894531,NA,10,0.86694847020934,0.813405797101449,0.146489045090937,0.181315485020323,1.0317895311786,2.53007277243829
"sim_100_10_0_1_5_data.csv",100,10,"Rounded LR",0.00437688827514648,NA,6,0.853864734299517,0.813808373590982,0.151821171029177,0.177873899018946,1,2
"sim_100_10_0_1_5_data.csv",100,10,"Lasso",0.0568130016326904,0.0328160523946071,4,0.85426731078905,0.805958132045088,0.157140580649914,0.178721002474089,0,1.05158820236555
"sim_100_10_0_1_5_data.csv",100,10,"Rounded Lasso",0.0629279613494873,0.0328160523946071,4,0.823268921095008,0.756843800322061,0.161887791036986,0.201137303385585,0,1
"sim_100_10_0_1_5_data.csv",100,10,"NLLCD",0.0389659404754639,0,10,0.866545893719807,0.814613526570048,0.146490024996353,0.180845177494833,4,10
"sim_100_10_0_1_5_data.csv",100,10,"NLLCD with CV (lambda_min)",15.3376500606537,0.050460903618763,4,0.84621578099839,0.794283413848631,0.157076353804857,0.190249266343695,0,10
"sim_100_10_0_1_5_data.csv",100,10,"NLLCD with CV (lambda_1se)",15.3376500606537,0.159571388225524,2,0.734903381642512,0.737721417069243,0.194983309715581,0.199610939723663,0,10
